,time,platform,passengers
0,2026-05-19 05:30:40,1,50
1,2026-05-19 05:36:10,1,50
2,2026-05-19 05:40:12,2,28
3,2026-05-19 05:43:42,1,75
4,2026-05-19 05:45:53,2,30
5,2026-05-19 05:51:37,1,90
6,2026-05-19 05:52:40,2,40
7,2026-05-19 05:56:19,1,47
8,2026-05-19 05:59:57,2,42
9,2026-05-19 06:03:42,1,88
10,2026-05-19 06:05:19,2,27
11,2026-05-19 06:10:08,1,54
12,2026-05-19 06:10:08,2,32
13,2026-05-19 06:16:56,2,41
14,2026-05-19 06:17:21,1,86
15,2026-05-19 06:21:52,2,22
16,2026-05-19 06:22:48,1,54
17,2026-05-19 06:26:35,2,20
18,2026-05-19 06:27:39,1,67
19,2026-05-19 06:33:10,2,42
20,2026-05-19 06:34:08,1,79
21,2026-05-19 06:39:23,1,72
22,2026-05-19 06:39:25,2,44
23,2026-05-19 06:43:35,1,88
24,2026-05-19 06:44:28,2,36
25,2026-05-19 06:47:52,1,95
26,2026-05-19 06:49:38,2,58
27,2026-05-19 06:52:47,1,96
28,2026-05-19 06:54:13,2,66
29,2026-05-19 06:57:09,1,142
30,2026-05-19 06:58:30,2,54
31,2026-05-19 06:59:59,1,93
32,2026-05-19 07:04:00,2,81
33,2026-05-19 07:05:25,1,207
34,2026-05-19 07:08:39,2,115
35,2026-05-19 07:09:42,1,177
36,2026-05-19 07:13:11,2,152
37,2026-05-19 07:14:12,1,210
38,2026-05-19 07:17:56,2,228
39,2026-05-19 07:18:29,1,382
40,2026-05-19 07:22:23,1,480
41,2026-05-19 07:22:30,2,196
42,2026-05-19 07:26:04,2,198
43,2026-05-19 07:26:05,1,438
44,2026-05-19 07:28:53,1,411
45,2026-05-19 07:30:03,2,357
46,2026-05-19 07:32:58,2,275
47,2026-05-19 07:33:07,1,635
48,2026-05-19 07:37:17,1,760
49,2026-05-19 07:37:38,2,483
50,2026-05-19 07:40:26,2,322
51,2026-05-19 07:40:28,1,456
52,2026-05-19 07:44:05,2,415
53,2026-05-19 07:44:06,1,658
54,2026-05-19 07:47:45,1,728
55,2026-05-19 07:48:12,2,532
56,2026-05-19 07:50:51,1,815
57,2026-05-19 07:51:43,2,445
58,2026-05-19 07:54:44,1,736
59,2026-05-19 07:55:28,2,490
60,2026-05-19 07:58:17,1,793
61,2026-05-19 07:58:41,2,381
62,2026-05-19 08:01:53,1,821
63,2026-05-19 08:02:39,2,576
64,2026-05-19 08:05:23,1,803
65,2026-05-19 08:06:12,2,574
66,2026-05-19 08:08:48,1,832
67,2026-05-19 08:10:23,2,611
68,2026-05-19 08:11:11,1,762
69,2026-05-19 08:14:17,2,596
70,2026-05-19 08:14:23,1,801
71,2026-05-19 08:16:38,2,391
72,2026-05-19 08:17:22,1,719
73,2026-05-19 08:19:24,2,277
74,2026-05-19 08:20:28,1,723
75,2026-05-19 08:22:22,2,529
76,2026-05-19 08:22:53,1,668
77,2026-05-19 08:25:53,1,694
78,2026-05-19 08:25:55,2,503
79,2026-05-19 08:28:26,2,464
80,2026-05-19 08:30:01,1,882
81,2026-05-19 08:30:49,2,320
82,2026-05-19 08:33:01,1,841
83,2026-05-19 08:34:04,2,608
84,2026-05-19 08:36:45,1,748
85,2026-05-19 08:37:10,2,479
86,2026-05-19 08:40:10,1,631
87,2026-05-19 08:40:31,2,613
88,2026-05-19 08:43:01,2,399
89,2026-05-19 08:43:02,1,833
90,2026-05-19 08:46:04,1,809
91,2026-05-19 08:47:19,2,532
92,2026-05-19 08:49:16,1,784
93,2026-05-19 08:50:39,2,403
94,2026-05-19 08:51:53,1,728
